2024-02-14 00:22:02 | ::1 | - | GET | /js/toprofilePage.js | 304 | - | 2.941 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/encryptProgress.js | 304 | - | 2.866 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/encrypt.js | 200 | 30977 | 33.749 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/cookie.js | 304 | - | 4.491 ms | http://localhost:3000/js/cookie_login.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/key.js | 304 | - | 3.898 ms | http://localhost:3000/js/encrypt.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/virustotal.js | 304 | - | 3.744 ms | http://localhost:3000/js/encrypt.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/share_file.js | 304 | - | 3.473 ms | http://localhost:3000/js/encrypt.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/profile.js | 304 | - | 3.111 ms | http://localhost:3000/js/encrypt.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/account.js | 304 | - | 2.894 ms | http://localhost:3000/js/encrypt.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /checkTokenValidity | 401 | 17 | 2.015 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/RSA%20and%20IndexedDB/rsa.js | 304 | - | 4.896 ms | http://localhost:3000/js/share_file.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/RSA%20and%20IndexedDB/IndexedDB.js | 304 | - | 3.022 ms | http://localhost:3000/js/profile.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/RSA%20and%20IndexedDB/key_regen.js | 304 | - | 2.071 ms | http://localhost:3000/js/profile.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /login | 404 | 144 | 1.000 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:02 | ::1 | - | GET | /js/RSA%20and%20IndexedDB/rsa_keygen.js | 304 | - | 0.734 ms | http://localhost:3000/js/RSA%20and%20IndexedDB/key_regen.js | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
2024-02-14 00:22:03 | ::1 | - | GET | /login | 404 | 144 | 1.038 ms | http://localhost:3000/encrypt | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 | - | - | {}
